"t","x","y","z"
2.593124250E0,8.804391174E0,-8.156538391E-1,4.338577881E0
2.603200250E0,8.781039734E0,-8.027806091E-1,4.366419983E0
2.613277250E0,8.759783936E0,-8.303233337E-1,4.355492706E0
2.623353250E0,8.769064636E0,-8.577163696E-1,4.339925079E0
2.633429250E0,8.799900513E0,-8.726852417E-1,4.286486206E0
2.643506250E0,8.800948334E0,-8.949888611E-1,4.265230408E0
2.653582250E0,8.789871368E0,-8.830137634E-1,4.254602509E0
2.663658250E0,8.743018799E0,-8.614585876E-1,4.242477722E0
2.673734250E0,8.710985413E0,-8.283773804E-1,4.242926788E0
2.683811250E0,8.722810822E0,-7.940986633E-1,4.264182587E0
2.693887250E0,8.769064636E0,-7.908055115E-1,4.306843872E0
2.703963250E0,8.822054443E0,-7.643106079E-1,4.339176636E0
2.714040250E0,8.844208374E0,-7.289840698E-1,4.348756714E0
2.724116250E0,8.824898529E0,-7.146139526E-1,4.345164185E0
2.734192250E0,8.767867126E0,-7.203021240E-1,4.338877258E0
2.744269250E0,8.719218292E0,-7.324269104E-1,4.330195312E0
2.754345250E0,8.681496735E0,-7.494914246E-1,4.330195312E0
2.764421250E0,8.679550781E0,-7.641609192E-1,4.359384613E0
2.774498250E0,8.685837708E0,-7.415579224E-1,4.365970917E0
2.784574250E0,8.719367981E0,-7.129673767E-1,4.364024963E0
2.794650250E0,8.765621796E0,-6.771917725E-1,4.364923096E0
2.804727250E0,8.825946350E0,-6.053411865E-1,4.354444885E0
2.814803250E0,8.875493317E0,-5.671705627E-1,4.337080994E0
2.824879250E0,8.890162811E0,-5.477110291E-1,4.323908386E0
2.834956250E0,8.857979736E0,-5.565426636E-1,4.276307373E0
2.845035667E0,8.798553314E0,-5.418731689E-1,4.224215698E0
2.855111667E0,8.734486542E0,-5.357359314E-1,4.204905853E0
2.865188667E0,8.739426270E0,-5.007087708E-1,4.220922546E0
2.875264667E0,8.788823547E0,-4.177812195E-1,4.261488190E0
2.885340667E0,8.838819580E0,-2.999761963E-1,4.321513367E0
2.895417667E0,8.846603394E0,-2.339634705E-1,4.380790100E0
2.905493667E0,8.826245728E0,-2.606080627E-1,4.377496948E0
2.915569667E0,8.781638489E0,-3.362008667E-1,4.391867065E0
2.925645667E0,8.738977203E0,-4.492158508E-1,4.425097961E0
2.935722667E0,8.748257904E0,-5.343887329E-1,4.411925354E0
2.945798667E0,8.794062653E0,-5.800437927E-1,4.344415741E0
2.955874667E0,8.816965027E0,-6.004014587E-1,4.298910370E0
2.965951667E0,8.820707245E0,-6.125262451E-1,4.292922821E0
2.976027667E0,8.798703003E0,-6.249504089E-1,4.325704651E0
2.986103667E0,8.786578217E0,-6.152206421E-1,4.323010254E0
2.996180667E0,8.791967010E0,-5.963598633E-1,4.289779358E0
3.006256667E0,8.789422302E0,-6.511459351E-1,4.263284454E0
3.016332667E0,8.782386932E0,-7.203021240E-1,4.210294647E0
3.026409667E0,8.784931641E0,-8.135581970E-1,4.111500092E0
3.036485667E0,8.796906738E0,-8.640032959E-1,4.059258728E0
3.046561667E0,8.831335144E0,-8.737330627E-1,4.047732697E0
3.056638667E0,8.863218842E0,-8.765771484E-1,4.091741180E0
3.066714667E0,8.874744873E0,-8.797206116E-1,4.138144684E0
3.076790667E0,8.878636780E0,-8.716374207E-1,4.142186279E0
3.086867667E0,8.878038025E0,-8.563691711E-1,4.147724762E0
3.096943667E0,8.861871643E0,-8.514294434E-1,4.145030365E0
3.107019667E0,8.866511993E0,-8.234376526E-1,4.169579315E0
3.117096667E0,8.900790710E0,-7.899073792E-1,4.192332001E0
3.127172667E0,8.916358337E0,-7.267387390E-1,4.195026398E0
3.137248667E0,8.904532928E0,-6.966513062E-1,4.197571106E0
3.147325667E0,8.851842499E0,-6.761439514E-1,4.234095154E0
3.157401667E0,8.826844482E0,-6.497987366E-1,4.219575348E0
3.167477667E0,8.810977478E0,-6.291416931E-1,4.189038849E0
3.177554667E0,8.800050201E0,-6.165678406E-1,4.185596008E0
3.187630667E0,8.801098022E0,-6.096821594E-1,4.180955658E0
3.197706667E0,8.822952576E0,-5.677693176E-1,4.169729004E0
3.207782667E0,8.844807129E0,-4.984634399E-1,4.167932739E0
3.217859667E0,8.838071136E0,-4.381388855E-1,4.193230133E0
3.227935667E0,8.814270630E0,-3.664379883E-1,4.208049316E0
3.238011667E0,8.813073120E0,-3.156935120E-1,4.223616943E0
3.248088667E0,8.842112732E0,-2.950364685E-1,4.211192780E0
3.258164667E0,8.856931915E0,-3.056643677E-1,4.257895660E0
3.268240667E0,8.856333160E0,-3.847000122E-1,4.330345001E0
3.278317667E0,8.840017090E0,-5.408253479E-1,4.342320099E0
3.288393667E0,8.798553314E0,-7.303312683E-1,4.317172394E0
