"t","x","y","z"
2.386559250E0,5.124672502E-2,2.213641815E-2,2.882382274E-2
2.396636250E0,4.399750754E-2,1.846830919E-2,1.858673245E-2
2.406712250E0,4.022913426E-2,2.508200333E-2,1.280527562E-2
2.416788250E0,3.066071123E-2,3.187681362E-2,4.497730639E-3
2.426865250E0,1.945439354E-2,3.202808276E-2,-3.829174908E-3
2.436941250E0,1.142168231E-2,3.076634184E-2,-1.371887513E-2
2.447017250E0,3.307830077E-3,3.444230556E-2,-1.953228936E-2
2.457094250E0,-1.001026202E-2,3.213315457E-2,-2.843549289E-2
2.467170250E0,-2.061363682E-2,3.220212832E-2,-3.514106572E-2
2.477246250E0,-3.347951546E-2,3.481400013E-2,-4.517221451E-2
2.487323250E0,-4.099655151E-2,4.049105942E-2,-4.812592268E-2
2.497399250E0,-5.129998177E-2,4.837657884E-2,-4.917160049E-2
2.507475250E0,-5.643615499E-2,5.180113763E-2,-4.675557837E-2
2.517552250E0,-5.877853930E-2,4.181272909E-2,-4.026675969E-2
2.527628250E0,-5.482427776E-2,2.935526334E-2,-3.322323412E-2
2.537704250E0,-4.638843983E-2,2.287306823E-2,-2.482430637E-2
2.547780250E0,-4.032575339E-2,8.990008384E-3,-1.732511260E-2
2.557857250E0,-3.340062499E-2,5.973980296E-4,-1.272395812E-2
2.567933250E0,-2.278473042E-2,-6.834153086E-3,-7.260216400E-3
2.578009250E0,-2.023852058E-2,-1.335498411E-2,-1.033650711E-2
2.588086250E0,-1.074914541E-2,-2.102275752E-2,-8.114632219E-3
2.598162250E0,-1.691491576E-3,-2.613323927E-2,-5.882063881E-3
2.608238250E0,1.139501482E-2,-3.380580992E-2,-2.054302255E-3
2.618315250E0,2.923158556E-2,-3.979497030E-2,8.846202865E-3
2.628391250E0,4.092099890E-2,-3.956434131E-2,1.685299538E-2
2.638467250E0,4.691927135E-2,-3.308868408E-2,2.562957257E-2
2.648544250E0,5.244719610E-2,-2.371782064E-2,2.845838293E-2
2.658620250E0,5.192904547E-2,-1.990040578E-2,3.117171861E-2
2.668696250E0,5.020704493E-2,-2.080801129E-2,2.417133376E-2
2.678773250E0,4.584767669E-2,-2.493546158E-2,2.278508432E-2
2.688849250E0,4.487615824E-2,-2.808038704E-2,1.691121608E-2
2.698925250E0,4.113645852E-2,-1.957897656E-2,1.706403121E-2
2.709002250E0,3.723173216E-2,-4.261805676E-3,1.642860100E-2
2.719078250E0,3.740763664E-2,3.924800083E-3,1.756207272E-2
2.729154250E0,3.280888870E-2,1.046339329E-2,1.175664645E-2
2.739231250E0,2.786476724E-2,1.226403750E-2,1.398685202E-2
2.749307250E0,2.385937236E-2,1.018038020E-2,1.325288415E-2
2.759383250E0,1.564232446E-2,5.961884744E-3,1.224058867E-2
2.769460250E0,1.203081198E-2,5.681454204E-3,1.250077970E-2
2.779536250E0,9.469319135E-3,4.626884125E-3,1.205519773E-2
2.789612250E0,3.892926034E-3,6.317991298E-3,8.847154677E-3
2.799688250E0,6.856098771E-4,6.753691006E-3,2.467347775E-3
2.809765250E0,-2.795674605E-3,1.159292087E-2,3.684412222E-3
2.819841250E0,-1.500541717E-2,2.272308990E-2,-3.692888655E-3
2.829917250E0,-1.678653806E-2,3.266440332E-2,-1.116918027E-2
2.839994250E0,-3.087946959E-2,3.628885746E-2,-2.269033901E-2
2.850073667E0,-3.997709602E-2,3.163285181E-2,-3.460026160E-2
2.860149667E0,-5.378511921E-2,2.383255959E-2,-4.334675893E-2
2.870226667E0,-6.933877617E-2,1.575279608E-2,-5.407157540E-2
2.880302667E0,-8.977195621E-2,1.673151366E-2,-6.353186071E-2
2.890378667E0,-9.858808666E-2,1.756375097E-2,-7.014129311E-2
2.900455667E0,-1.131502241E-1,1.376293227E-2,-7.186872512E-2
2.910531667E0,-1.211042926E-1,2.281246474E-3,-7.323758304E-2
2.920607667E0,-1.266819686E-1,-1.427817252E-2,-7.137632370E-2
2.930684667E0,-1.208704188E-1,-2.504399978E-2,-7.070280612E-2
2.940760667E0,-1.176977977E-1,-3.561914712E-2,-6.887161732E-2
2.950836667E0,-1.216464639E-1,-4.625394940E-2,-7.456971705E-2
2.960913667E0,-1.213095486E-1,-5.187769979E-2,-7.678716630E-2
2.970989667E0,-1.216024905E-1,-5.317838863E-2,-8.209697902E-2
2.981065667E0,-1.223638207E-1,-5.198110640E-2,-7.873307914E-2
2.991142667E0,-1.171935573E-1,-5.043673888E-2,-8.094723523E-2
3.001218667E0,-1.110707000E-1,-5.135210603E-2,-7.611989230E-2
3.011294667E0,-1.047680601E-1,-4.795923829E-2,-7.037625462E-2
3.021370667E0,-9.586015344E-2,-4.735813290E-2,-7.089685649E-2
3.031447667E0,-8.842647076E-2,-3.983976319E-2,-6.843955815E-2
3.041523667E0,-7.980464399E-2,-4.117889330E-2,-6.410998851E-2
3.051599667E0,-7.037332654E-2,-3.787071258E-2,-5.723344162E-2
3.061676667E0,-5.675211549E-2,-3.194550425E-2,-5.013620853E-2
3.071752667E0,-4.472181946E-2,-1.956499740E-2,-4.085482657E-2
3.081828667E0,-3.424258530E-2,-8.919891901E-3,-3.082783148E-2
3.091905667E0,-2.504056320E-2,-1.108574215E-3,-2.275765315E-2
3.101981667E0,-1.385118254E-2,1.954934793E-3,-1.681400090E-2
3.112057667E0,-8.909155615E-3,9.112180211E-3,-1.396761462E-2
3.122134667E0,-1.711659133E-4,1.666802540E-2,-7.475104183E-3
3.132210667E0,1.148522459E-2,2.851270139E-2,-1.448636875E-3
3.142286667E0,1.629740372E-2,3.276228532E-2,3.977241926E-3
3.152363667E0,2.341577038E-2,3.445738554E-2,1.134008449E-2
3.162439667E0,2.801642194E-2,3.412656859E-2,1.383310277E-2
3.172515667E0,3.247188777E-2,3.328474611E-2,1.594605297E-2
3.182592667E0,3.278924152E-2,2.825096808E-2,2.032465860E-2
3.192668667E0,2.716304734E-2,2.321359888E-2,2.376626432E-2
3.202744667E0,2.177955210E-2,2.250423282E-2,1.691873744E-2
3.212821667E0,7.612068672E-3,2.091432735E-2,7.046398707E-3
3.222897667E0,-4.307161551E-3,2.276249975E-2,-4.695364740E-3
3.232973667E0,-1.666609384E-2,1.491709147E-2,-1.420924161E-2
3.243050667E0,-3.139699250E-2,3.944144119E-3,-2.676843107E-2
3.253126667E0,-5.078320205E-2,-1.211791206E-2,-3.516590968E-2
3.263202667E0,-5.941383541E-2,-3.332734108E-2,-3.755675629E-2
3.273279667E0,-6.053848937E-2,-4.023584723E-2,-3.371434659E-2
3.283355667E0,-5.347010121E-2,-4.509641230E-2,-2.689110674E-2
3.293431667E0,-4.529526085E-2,-5.061581358E-2,-2.070431784E-2
3.303507667E0,-3.611518443E-2,-5.299808830E-2,-1.393643580E-2
3.313584667E0,-2.569769695E-2,-5.202363804E-2,-7.332329638E-3
3.323660667E0,-1.451521274E-2,-5.197345093E-2,-2.894523786E-3
